3958: 0x8194b31
3959: 0x8194c9f
3961: 0x8194cef
3981: 0x819537d
3983: 0x81953cd
3984: 0x81954a5
3997: 0x8195805
4001: 0x8195961
4008: 0x8195a73
4013: 0x8195fe8
4014: 0x8196067
4017: 0x81961b2
4058: 0x8196f75
4059: 0x819703c
4062: 0x819706a
4063: 0x81970c7
4065: 0x8197144
4066: 0x8196fd1
4098: 0x8197dae
4103: 0x81980c5
4108: 0x81980e2
4115: 0x819811a
4117: 0x8198482
4118: 0x81984a3
4371: 0x819f2d9
4373: 0x819f399
4383: 0x819fb47
4387: 0x819fd5d
4390: 0x819fda4
4392: 0x819fef8
4402: 0x81a01d2
4403: 0x81a0304
4404: 0x81a03e6
4406: 0x81a0383
4411: 0x81a03d7
4418: 0x81a056f
4428: 0x81a0953
4571: 0x81a31db
4572: 0x81a32ac
4576: 0x81a32fc
4577: 0x81a332a
4595: 0x81a4052
4621: 0x81a48f5
4626: 0x81a4b1f
4630: 0x81a4e0e
4633: 0x81a4ea7
4636: 0x81a501c
4641: 0x81a50a2
4643: 0x81a5677
4658: 0x81a5d1a
4659: 0x81a5e8b
4663: 0x81a63d0
4664: 0x81a62a3
4668: 0x81a636f
4679: 0x81a6b38
4681: 0x81a6c83
4684: 0x81a6ec1
4689: 0x81a6e9c
4691: 0x81a702d
4697: 0x81a726c
4702: 0x81a7360
4705: 0x81a740a
4709: 0x81a753e
4712: 0x81a758b
4714: 0x81a763f
4716: 0x81a7d41
4870: 0x81aba26
4872: 0x81aba58
4874: 0x81abb2a
4879: 0x81abc3c
4882: 0x81abcb5
4890: 0x81ac10d
4893: 0x81ac1ca
4895: 0x81ac32d
4897: 0x81ac3c5
4898: 0x81abcfa
4900: 0x81ac838
4902: 0x81ac84c
4904: 0x81ac879
4906: 0x81ac8ca
4909: 0x81ac9f4
4917: 0x81acc7e
4921: 0x81acd3c
4923: 0x81acca9
4925: 0x81acc46
4926: 0x81ad02d
4927: 0x81acd6d
4929: 0x81ad066
4931: 0x81ad098
4940: 0x81ad22b
4943: 0x81ad41a
4944: 0x81ada55
4947: 0x81ada47
4949: 0x81adb44
4952: 0x81ae60b
4955: 0x81ae625
5217: 0x81b23c8
5218: 0x81b23b2
5219: 0x81b24c9
5223: 0x81b252a
5226: 0x81b26da
5231: 0x81b26bb
5235: 0x81b5c93
5242: 0x81b5d87
5246: 0x81b6325
5249: 0x81b647d
524: 0x814c36e
5250: 0x81b6728
5253: 0x81b67d6
5256: 0x81b6827
5276: 0x81b6cc3
5379: 0x81b94c7
5390: 0x81b965b
5394: 0x81b9719
5398: 0x81b979d
5402: 0x81b98ce
5403: 0x81b98b7
5406: 0x81b99a2
5410: 0x81b9c47
5415: 0x81b9f22
5417: 0x81b9db7
5516: 0x81bc2fa
5519: 0x81bc486
555: 0x814c9d6
5608: 0x81bf043
5609: 0x81bf05e
5614: 0x81bf0d0
5618: 0x81bf19e
5619: 0x81bf1ed
